Source,Target,Weight
1,65,2
1,4357,1
1,4810,2
1,6498,2
1,6522,2
1,8232,2
1,8403,1
1,8479,1
1,9483,2
1,10280,3
1,12000,1
2,7072,1
4,5687,1
5,335,4
5,570,4
5,3266,3
7,4183,2
7,6685,1
7,9698,2
8,300,1
8,532,1
8,1334,1
8,1605,1
8,2165,1
8,2856,4
8,3206,7
8,3585,1
8,3644,1
8,4746,1
8,4884,1
8,4945,1
8,5325,1
8,5444,1
8,5588,1
8,6044,1
8,6394,1
8,7000,1
8,8353,1
8,8362,1
8,8728,1
8,9244,1
8,10341,7
8,10430,4
8,11368,1
8,12030,3
9,495,9
9,603,1
9,647,4
9,661,2
9,890,8
9,909,40
9,952,3
9,1107,1
9,1167,1
9,1238,1
9,1360,1
9,1644,7
9,1648,1
9,1770,16
9,1820,2
9,2653,5
9,2741,1
9,3036,1
9,3067,2
9,3173,1
9,3174,1
9,3237,9
9,3238,9
9,3263,10
9,3591,1
9,3690,11
9,3749,5
9,3856,1
9,4314,3
9,4342,1
9,4473,1
9,4850,3
9,5058,1
9,5086,18
9,5239,7
9,5240,7
9,5405,1
9,5501,1
9,6140,1
9,6186,1
9,6317,13
9,6345,2
9,6485,2
9,6778,1
9,6903,10
9,7168,2
9,7303,2
9,7310,4
9,7706,3
9,7710,2
9,7756,1
9,7900,4
9,7965,3
9,8472,6
9,8573,3
9,8609,1
9,8668,1
9,8736,5
9,8792,16
9,8940,9
9,9344,2
9,9803,1
9,9997,11
9,10009,8
9,10109,7
9,10474,1
9,10530,1
9,10603,5
9,10826,2
9,10840,5
9,11390,1
9,11510,2
9,11518,2
9,11619,1
9,11796,2
9,11902,1
9,11919,1
9,11933,1
9,12139,2
9,12157,1
10,2297,6
10,2399,3
10,5342,1
10,7902,1
10,8068,2
10,9010,1
10,12286,1
11,661,1
11,1113,2
11,1419,1
11,1957,23
11,1971,2
11,2466,3
11,3084,4
11,3912,2
11,5526,2
11,5712,1
11,5804,6
11,6522,1
11,7108,2
11,8687,4
11,8711,10
11,9344,3
11,9366,2
11,9503,1
11,10794,1
11,10942,2
11,11360,2
11,11984,1
11,12246,1
12,1531,1
12,7710,2
13,1562,1
13,6189,1
14,260,1
14,410,2
14,1390,9
14,1392,1
14,1430,33
14,1531,2
14,1657,7
14,2713,1
14,2765,6
14,3514,5
14,3667,1
14,4076,1
14,4494,1
14,4775,4
14,4864,1
14,5149,21
14,5872,7
14,9100,1
14,10069,9
14,10661,27
14,10934,1
14,11587,1
14,11770,2
14,11771,2
15,285,1
15,488,1
15,1648,1
