Id,Label,Art_num
1,Gisya Abdi,6
2,Umulkher Abdillahl,1
3,Zahra Abdy,0
4,Katarzyna Abrachamowicz,1
5,Sarhan Mohammad Abu,5
6,Wojciech Achtelik,0
7,Agnieszka Adamczyk,4
8,Andrzej Franciszek Adamczyk,14
9,Anna Adamczyk,134
10,Bartłomiej Adamczyk,10
11,Bartosz Adamczyk,24
12,Daniel Adamczyk,3
13,Jakub Adamczyk,2
14,Jan Adamczyk,103
15,Jan Adamczyk,1
16,Jarosław Adamczyk,1
17,Justyna Adamczyk,21
18,Leszek Adamczyk,1429
19,Maciej Adamczyk,3
20,Marcin Adamczyk,1
21,Marek Adamczyk,1
22,Michał Adamczyk,34
23,Michał Adamczyk,1
24,Paweł Adamczyk,2
25,Piotr Adamczyk,2
26,Ryszard Adamczyk,1
27,Tomasz Adamczyk,36
28,Zuzanna Adamczyk,1
29,Andrzej Adamek,4
30,Artur Adamek,1
31,Katarzyna Adamek,17
32,Mateusz Adamek,0
33,Aleksandra Adamiak,1
34,Dominik Adamiak,1
35,Jacek Adamiak,1
36,Ewa Adamiec,67
37,Aleksandra Adamiuk,1
38,Katarzyna Adamowicz-Perska,6
39,Janusz Adamowski,95
40,Maja Adamska-Szatko,4
41,Andrzej Adamski,74
42,Andrzej Adamski,1
43,Czesław Adamski,1
44,Elżbieta Adamus,10
45,Filip Adamus,1
46,Jacek Adamus,1
47,Lech Adamus,8
48,Piotr Adaszyński,0
49,Temiloluwa Ademuwagun,1
50,Purak Adhikari,1
51,Anna Adrian,40
52,Henryk Adrian,113
53,Marek Adrian,9
54,Weronika Teresa Adrian,69
55,Łukasz Afeltowicz,12
56,Adam Agatowski,1
57,Weam Nasan Agha,2
58,Mohammed Imran Ahmed,7
59,Bartłomiej Ahmida,5
60,S. Akarsh,0
61,Waseem Akbar,1
62,Akinniyi Akinsunmade,30
63,Mahdi Al-Ameri,2
64,Hadidi Mohamed Al,1
65,Luhaibi Lulu Al,5
66,Ebtesam Najim Abdullah Al-Shemmary,1
67,Santhana Krishna Kumar Alagarsamy,1
68,Ahmed H. Alamin,1
69,Maciej Albrycht,2
70,Witold Alda,44
71,Urszula Aleksander-Kwaterczak,101
72,Rafał Aleksander,1
73,Jakub Aleksandrowicz,1
74,Maciej Aleksandrowicz,2
75,Emil Aleksiewicz-Drab,1
76,Stefan Witold Alexandrowicz,32
77,Witold Paweł Alexandrowicz,141
78,Irfan Ali,0
79,Yasir Ali,1
80,Andreas Alk,4
81,Sana Ahmad Almansour,1
82,Awad Almehdhar,0
83,Łukasz Ambroziński,128
84,Mateusz Ambroziński,21
85,Paweł Andreasik,26
86,Antonio Andreescu,1
87,Damian Andrunik,2
88,Magdalena Andrunik,27
89,Wacław Andrusikiewicz,58
90,Agnieszka Andrychowicz,1
91,Anna Andrychowicz,7
92,Wojciech Andrysiewicz,6
93,Jakub Andrzejak,0
94,Jakub Andrzejewski,1
95,Mariusz Andrzejewski,6
